accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,time,urban_or_rural_area,weather_conditions,vehicle_type
BS0000062,18-01-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,16:46,Urban,Fine no high winds,Car
BS0000054,18-02-2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,7:09,Urban,Fine no high winds,Car
BS0000068,18-02-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,8:36,Urban,Other,Car
BS0000078,18-02-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
BS0000121,18-03-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,19:49,Urban,Fine no high winds,Car
BS0000201,18-05-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,10:42,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000268,18-06-2021,Thursday,Auto traffic signal,T or staggered junction,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:01,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000335,18-07-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Car
BS0000387,18-08-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,10:05,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000388,18-08-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
BS0000393,18-08-2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,9:06,Urban,Fine no high winds,Car
BS0000019,19-01-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:27,Urban,Fine no high winds,Car
BS0000136,19-03-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,2,1,Metropolitan Police,Dry,Single carriageway,30,5:11,Urban,Fine no high winds,Car
BS0000240,19-03-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,19:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
